Source,Target,Weight,cooccur_count
action,hero,3.9068905956085187,6
pet supply,snout,3.9068905956085187,3
kitten,snout,3.9068905956085187,2
horn,snout,3.9068905956085187,2
snout,wildlife,3.9068905956085187,2
cryptid,mythology,3.9360369412680347,4
long hair,skin,3.9360369412680347,2
atmospheric phenomenon,star,3.9360369412680347,2
cityscape,dusk,3.965784284662087,3
night,visual effect lighting,3.965784284662087,3
dusk,moonlight,3.965784284662087,3
beard,goggles,3.965784284662087,2
sphere,universe,3.965784284662087,2
chin,moustache,3.965784284662087,2
science,spacecraft,3.965784284662087,2
beard,wrinkle,3.965784284662087,2
glasses,moustache,3.965784284662087,2
moustache,temple,3.965784284662087,2
darkness,moon,3.965784284662087,2
science,wonders of the world,3.965784284662087,2
neon,night,3.965784284662087,2
evening,steeple,3.965784284662087,2
backlighting,evening,3.965784284662087,2
night,planet,3.965784284662087,2
dome,universe,3.965784284662087,2
science,video game software,3.965784284662087,2
dog,tail,4.006426269159433,3
eyelash,long hair,4.042952145184547,4
helmet,hero,4.058893689053568,2
horizon,sunset,4.058893689053568,2
demon,mask,4.058893689053568,2
bird,feather,4.058893689053568,2
fur,whiskers,4.072699488578599,7
darkness,lens flare,4.091315166745946,4
column,still life photography,4.091315166745946,2
backlighting,lens flare,4.091315166745946,2
cloud,steeple,4.091315166745946,2
black hair,eyelash,4.113341473075945,3
cat,whiskers,4.113341473075945,3
midnight,moonlight,4.158429362604482,2
red,symbol,4.158429362604482,2
cityscape,pc game,4.158429362604482,2
cryptid,wing,4.158429362604482,2
action-adventure game,mythology,4.158429362604482,2
atmospheric phenomenon,moon,4.158429362604482,2
atmospheric phenomenon,moonlight,4.158429362604482,2
moonlight,star,4.158429362604482,2
facial expression,pleased,4.158429362604483,2
eyebrow,eyelash,4.172235162129514,5
arch,shadow,4.22881869049588,2
costume,model,4.22881869049588,2
primate,toy,4.22881869049588,2
astronomy,sphere,4.22881869049588,2
beauty,black hair,4.22881869049588,2
lawn ornament,toy,4.22881869049588,2
action,personal protective equipment,4.22881869049588,2
darkness,walking,4.22881869049588,2
shadow,walking,4.22881869049588,2
eyelash,hairstyle,4.265344566520995,4
eyelash,fashion,4.265344566520995,2
astronomical object,spacecraft,4.265344566520995,2
digital compositing,spacecraft,4.265344566520995,2
pet supply,whiskers,4.265344566520995,2
cheek,eyelash,4.265344566520995,2
eyelash,headpiece,4.265344566520995,2
astronomical object,video game software,4.265344566520995,2
digital compositing,video game software,4.265344566520995,2
mecha,technology,4.328354364046795,6
portrait photography,wrinkle,4.328354364046795,3
eyelash,skin,4.364880240071909,5
beard,moustache,4.380821783940931,8
feather,wing,4.380821783940931,3
beard,sunglasses,4.380821783940931,2
moustache,nose,4.380821783940931,2
spacecraft,universe,4.380821783940931,2
cosplay,mask,4.380821783940931,2
blue,gemstone,4.380821783940931,2
alley,evening,4.380821783940931,2
dusk,sky,4.380821783940931,2
universe,video game software,4.380821783940931,2
blue,cumulus,4.380821783940931,2
model,portrait photography,4.421463768438277,4
black hair,skin,4.421463768438277,2
green,reflection,4.421463768438277,2
long hair,model,4.421463768438277,2
bird,terrestrial animal,4.421463768438277,2
atmospheric phenomenon,horizon,4.421463768438277,2
cryptid,demon,4.421463768438277,2
atmospheric phenomenon,sunlight,4.421463768438277,2
cat,tail,4.421463768438277,2
beauty,eyelash,4.435269567963307,6
astronaut,astronomical object,4.435269567963307,3
sunlight,sunrise,4.491853096329675,3
action,knight,4.491853096329675,3
lantern,still life photography,4.50635266602479,2
cloud,wind,4.50635266602479,2
alley,lens flare,4.50635266602479,2
beak,bird,4.528378972354789,4
beauty,eyebrow,4.550746785383243,4
beauty,hairstyle,4.550746785383243,3
astronaut,universe,4.550746785383243,3
moustache,wrinkle,4.550746785383243,3
darkness,moonlight,4.550746785383243,3
column,shadow,4.550746785383243,2
backlighting,darkness,4.550746785383243,2
beauty,eye shadow,4.550746785383243,2
eyebrow,lips,4.550746785383243,2
costume,tradition,4.550746785383243,2
headphones,technology,4.550746785383243,2
astronomy,universe,4.643856189774724,8
action,breastplate,4.643856189774724,4
sun,sunrise,4.643856189774724,2
action,helmet,4.643856189774724,2
moonlight,walking,4.643856189774724,2
black hair,hairstyle,4.643856189774724,2
beak,feather,4.680382065799839,8
fire,heat,4.728745087361238,7
flame,heat,4.728745087361238,7
star,universe,4.743391863325639,6
darkness,midnight,4.743391863325639,4
beauty,skin,4.743391863325639,4
beauty,long hair,4.743391863325639,4
dragon,mythology,4.743391863325639,4
no expression,portrait photography,4.743391863325639,4
portrait photography,red hair,4.743391863325639,3
hairstyle,skin,4.743391863325639,3
midnight,moon,4.743391863325639,3
love,red,4.743391863325639,3
fractal art,graphic design,4.743391863325639,3
reptile,terrestrial animal,4.743391863325639,2
